Lexeme | Token | Count
program|keyword|1
public4|identifier|1
(|seprator|2
output|identifier|1
)|seprator|2
;|seprator|17
label|keyword|1
1492|literal|1
,|seprator|10
1776|literal|1
type|keyword|1
complex|identifier|4
=|operator|5
record|keyword|2
re|identifier|1
im|identifier|1
:|seprator|12
real|identifier|2
end|keyword|3
color|identifier|4
red|identifier|1
white|identifier|1
blue|identifier|1
pp|identifier|3
^|operator|1
person|identifier|3
age|identifier|1
integer|identifier|2
friend|identifier|1
location|identifier|1
favorite|identifier|1
salary|identifier|1
const|keyword|1
d|identifier|2
0.0625|literal|1
var|keyword|1
c|identifier|1
i|identifier|2
sum|identifier|1
ac|identifier|1
array|keyword|3
[|seprator|3
1.|literal|3
.|operator|3
10|literal|2
]|seprator|3
of|keyword|3
aco|identifier|1
john|identifier|1
mary|identifier|1
fred|identifier|1
ptr|identifier|1
people|identifier|1
20|literal|1
begin|keyword|1
:=|operator|1
3|literal|1
